pipeline,n_samples,runtime_sec,runtime_min,sec_per_sample,gpu_name,driver_version,vram_total_mib
01_I2TFv1,150,239.4075561909999,3.990125936516665,1.596050374606666,NVIDIA L4,550.54.15,23034 MiB
02_I2TFv2,150,226.63605982199988,3.777267663699998,1.5109070654799992,NVIDIA L4,550.54.15,23034 MiB
03_SAFb,150,1029.2066377449996,17.15344396241666,6.8613775849666645,NVIDIA L4,550.54.15,23034 MiB
04_SAFv,150,1207.7809282750004,20.129682137916674,8.05187285516667,NVIDIA L4,550.54.15,23034 MiB
05_MAH,150,1812.780384713,30.213006411883335,12.085202564753335,NVIDIA L4,550.54.15,23034 MiB
